name,score,Energy,Fat,Saturated Fat,Unsaturated Fat,Carbohydrates,Suger,Fiber,Protein,Salt,Calcium,Vitamin B2,Vitamin B6,Vitamin D,Vitamin C
AH Goudse jong komijn 48+ plakken,D,362.0,30.0,21.0,9.2,0.0,0.0,0.0,23.0,1.9,,,,,
AH Clemont Rouge 70+,D,418.0,40.0,26.0,11.0,0.5,0.5,0.0,14.0,1.7,,,,,
AH Excellent Prosciutto crudo,D,226.0,13.0,4.6,7.8,0.3,0.0,0.0,27.0,5.3,,,,,
AH Guacamole,A,191.0,18.0,3.0,14.0,4.0,1.5,2.5,2.0,0.9,,,,,
De Zaanse Hoeve Jong 30+ plakken,D,280.0,18.0,12.0,5.5,0.0,0.0,0.0,30.0,1.75,,,,,
AH Hummus zongedroogde tomaat,A,297.0,26.0,3.4,22.0,6.5,2.0,5.1,6.7,1.05,,,,,
AH Scrocchi Rozemarijn Zeezout,D,427.0,12.0,1.7,10.0,68.0,1.1,3.3,10.0,2.0,,,,,
AH Borreltoast zeezout,D,417.0,9.5,2.3,7.2,70.0,2.9,3.6,11.0,2.0,,,,,
AH Vrije uitloop-eisalade,D,287.0,26.0,3.4,22.0,4.7,3.0,0.2,8.5,1.38,,,,,
AH Gebraden gehakt,E,247.0,19.0,7.6,11.0,5.0,0.2,0.0,14.0,2.35,,,,,
AH Gegrilde beenham,D,160.0,8.0,3.5,4.5,1.0,0.9,0.0,21.0,2.0,,,,,
AH Biologisch Yorkham,D,148.0,7.3,2.8,4.5,1.6,1.5,0.0,19.0,2.38,,,,,
AH Goudse jong belegen 48+ stuk,D,375.0,31.0,21.0,9.4,0.0,0.0,0.0,24.0,2.0,,,,,
AH Biologisch Ontbijtspek,E,283.0,23.0,9.6,13.0,0.0,0.0,0.0,19.0,3.8,,,,,
AH Tostiham,C,97.0,2.1,0.8,1.3,4.5,0.5,0.0,15.0,2.1,,,,,
De Zaanse Hoeve Belegen 48+ stuk voordeel,D,385.0,32.0,22.0,9.1,0.0,0.0,0.0,24.0,2.1,,,,,
AH Zaanlander Belegen 48+ plakken,D,388.0,32.0,21.0,11.0,0.0,0.0,0.0,25.0,2.1,,,,,
Danone Hüttenkäse original,B,88.0,3.7,2.4,,1.6,1.6,,12.0,0.77,,,,,
AH Hummus naturel,C,302.0,26.0,3.4,22.0,8.8,0.08,4.6,6.0,1.2,,,,,
AH Pestospread,D,485.0,49.0,9.0,40.0,3.7,1.8,2.2,6.1,1.28,,,,,
AH Coburger ham,D,180.0,10.0,4.0,6.0,0.3,0.3,0.0,22.0,4.4,,,,,
AH Biologisch Italiaanse parmigiano reggiano,D,398.0,30.0,20.0,8.9,0.0,0.0,0.0,32.0,1.6,,,,,
AH Tonijnsalade,D,317.0,27.0,2.4,24.0,5.4,3.5,0.1,13.0,1.4,,,,,
AH Goudse belegen 48+ plakken,D,390.0,32.0,21.0,10.0,0.0,0.0,0.0,25.0,2.2,,,,,
AH Goudse belegen 48+ plakken voordeel,D,390.0,32.0,21.0,10.0,0.0,0.0,0.0,25.0,2.2,,,,,
AH Greenfields Runderrookvlees,D,115.0,2.0,0.3,1.5,0.8,0.7,0.0,23.0,3.25,,,,,
AH Scharrel flinterdunne kipfilet,C,109.0,2.3,0.8,1.5,1.8,0.9,0.5,20.0,1.8,,,,,
AH Goudse jong 48+ geraspt,D,370.0,30.0,21.0,8.0,2.0,0.0,0.0,23.0,2.1,,,,,
AH Saksische smeerleverworst,E,334.0,31.0,10.0,20.0,2.7,1.2,0.0,11.0,1.88,,,,,
AH Zaanlander Oud 48+ plakken,E,423.0,35.0,23.0,12.0,0.0,0.0,0.0,27.0,2.4,,,,,
AH Pasta geraspte kaas,D,351.0,27.0,18.0,9.0,2.0,0.0,0.0,25.0,1.53,,,,,
AH Goudse blokjes jong belegen 48+,D,375.0,31.0,21.0,8.4,0.0,0.0,0.0,24.0,2.0,,,,,
AH Rosbief kleinverpakking,A,111.0,3.0,1.5,1.5,0.0,0.0,0.0,21.0,0.0,,,,,
AH Goudse belegen geraspt voordeel,D,383.0,31.0,21.0,8.5,2.0,0.0,0.0,24.0,2.18,,,,,
AH Plak crèmepaté,E,261.0,23.0,8.8,14.0,4.3,1.8,0.4,9.1,1.83,,,,,
AH Filet americain mager,D,215.0,17.0,2.0,15.0,2.0,1.5,0.2,14.0,2.0,,,,,
AH Hamblokjes,D,149.0,9.0,3.5,5.4,2.0,0.2,0.0,15.0,2.5,,,,,
AH Biologisch Achterham,D,156.0,7.7,3.0,4.7,1.7,1.6,0.0,20.0,2.53,,,,,
AH Smeuïge tonijnsalade,C,306.0,26.0,2.1,24.0,6.4,4.9,1.0,11.0,1.03,,,,,
AH Mascarpone 80+,D,368.0,38.0,26.0,12.0,2.5,2.5,0.0,4.0,0.1,,,,,
AH Scrocchi mare,D,454.0,16.0,1.9,14.0,66.0,1.1,3.0,10.0,2.0,,,,,
AH Hamreepjes,D,149.0,9.0,3.5,5.4,2.0,0.2,0.0,15.0,2.5,,,,,
AH Griekse feta 2-pack,E,278.0,23.0,17.0,5.2,0.7,0.7,0.0,17.0,2.25,,,,,
AH Goudse jong 48+ stuk,D,360.0,30.0,20.0,8.9,0.0,0.0,0.0,23.0,1.8,,,,,
AH Spaanse fuet,E,415.0,31.0,13.0,19.0,3.0,3.0,0.0,31.0,4.25,,,,,
AH Groene olijven met basilicum,C,247.0,26.0,3.6,22.0,0.9,0.2,2.9,0.8,2.48,,,,,
AH Ei salade,C,235.0,20.0,2.9,16.0,5.5,3.3,0.1,8.3,1.13,,,,,
AH Saksische leverworst,D,275.0,25.0,9.4,14.0,2.6,0.9,0.0,10.0,1.5,,,,,
AH Scharrel kipfilet tuinkruiden,D,130.0,5.5,2.0,3.5,3.0,1.0,0.0,17.0,2.15,,,,,
AH Excellent Spianata romana,E,383.0,31.0,11.0,18.0,0.9,0.6,0.0,25.0,4.5,,,,,
AH Parmigiano reggiano,D,384.0,28.0,18.0,9.6,0.0,0.0,0.0,33.0,1.6,,,,,
AH Ovengratin geraspte kaas,D,346.0,26.0,18.0,7.5,2.0,0.0,0.0,26.0,1.3,,,,,
AH Carpaccio,D,154.0,8.5,2.9,5.6,1.3,1.2,0.1,18.0,2.3,,,,,
AH Kip kerrie salade,C,298.0,26.0,2.7,23.0,7.2,4.9,0.5,8.6,1.1,,,,,
AH Kokosmelk,C,171.0,17.0,16.0,1.1,2.0,1.3,2.0,1.5,0.05,,,,,
AH Magere melk,A,38.0,0.3,0.2,0.1,5.1,5.1,0.0,3.6,0.13,0.12,,,,
AH Lactosevrije houdbare halfvolle melk,A,47.0,1.5,0.9,0.6,4.8,4.8,0.0,3.5,0.13,0.12,,,,
AH Biologisch Eieren S M L,A,131.0,9.1,3.0,4.3,0.2,0.2,0.0,12.0,0.38,,,,,
AH Magere franse kwark,A,52.0,0.0,0.0,0.0,4.0,4.0,0.0,8.9,0.1,0.129,,,,
AH Biologisch Halfvolle melk,A,46.0,1.5,1.0,0.5,4.6,4.6,0.0,3.4,0.1,0.12,,,,
AH Kookroom,D,212.0,20.0,12.0,8.0,5.1,4.2,0.0,3.0,0.18,0.0988,,,,
AH Biologisch Houdbare volle melk,B,68.0,3.9,2.6,1.2,4.9,4.9,0.0,3.4,0.13,0.12,,,,
De Zaanse Hoeve Roomtoetje vanille,C,95.0,3.2,2.0,1.2,14.0,12.0,0.2,2.5,0.1,,,,,
De Zaanse Hoeve Roomtoetje chocolade,C,91.0,3.0,2.0,1.0,14.0,11.0,0.2,2.0,0.1,,,,,
AH Roomboter met plantaardige olie ongezout,D,589.0,65.0,35.0,28.0,0.5,0.5,0.0,0.6,0.0,,,,,
AH Slagroom houdbaar,D,293.0,30.0,21.0,9.0,3.4,3.4,0.0,2.4,0.08,,,,,
AH Sour cream,C,118.0,10.0,6.5,3.3,4.0,4.0,0.0,3.0,0.1,,,,,
Chocomel De enige echte halfvol,B,70.0,1.6,1.1,,9.8,9.7,,3.5,0.12,0.105,,,,
AH Biologisch Eieren S M L,A,131.0,9.1,3.0,4.3,0.2,0.2,0.0,12.0,0.38,,,,,
De Zaanse Hoeve Slagroom,D,292.0,30.0,21.0,8.7,3.1,3.1,0.0,2.4,0.08,,,,,
AH Verse scharreleieren L,A,131.0,9.1,3.0,4.5,0.2,0.2,0.0,12.0,0.38,,,,,
AH Slagroom spuitbus,D,305.0,28.0,20.0,7.5,11.0,11.0,0.0,2.0,0.0,,,,,
AH Verse crème fraiche,D,292.0,30.0,20.0,9.9,3.0,3.0,0.0,2.5,0.1,,,,,
De Zaanse Hoeve Chocoladevla,C,93.0,2.9,2.0,0.9,14.0,9.7,0.4,2.4,0.2,,,,,
AH Biologisch Magere kwark naturel,A,53.0,0.1,0.0,0.0,3.5,3.5,0.0,9.5,0.08,,,,,
AH Skyr IJslandse stijl,A,62.0,0.2,0.1,0.06,4.0,4.0,0.0,11.0,0.08,0.12,,,,
AH Opschuimmelk voor cappuccino,B,61.0,2.5,1.6,0.8,5.5,5.5,0.0,4.0,0.13,,,,,
AH Chocolademelk halfvol,B,64.0,1.7,1.0,0.7,8.2,7.8,0.7,3.6,0.1,0.115,,,,
AH Drinkyoghurt banaan kiwi,A,28.0,0.1,0.1,0.0,3.6,3.4,0.0,3.1,0.08,0.104,0.00023,0.0002,,
AH Lactosevrije kwark,A,50.0,0.2,0.1,0.1,3.5,3.5,0.0,8.5,0.1,0.123,,,,
AH Verse scharreleieren L/XL,A,131.0,9.1,3.0,4.5,0.2,0.2,0.0,12.0,0.38,,,,,
AH Roomboter ongezouten,D,743.0,82.0,50.0,32.0,0.6,0.6,0.0,0.7,0.0,,,,,
AH Verse Creme fraiche light,D,163.0,15.0,10.0,4.4,4.0,4.0,0.0,3.0,0.1,,,,,
AH Biologisch Griekse stijl yoghurt,C,128.0,10.0,6.2,2.8,5.0,5.0,0.0,4.5,0.1,,,,,
De Zaanse Hoeve Kinderkwark,B,83.0,2.3,1.5,0.7,10.0,10.0,0.1,5.5,0.13,,,,,
AH Kruidenboter,E,662.0,72.0,50.0,21.0,2.5,1.5,0.4,0.9,0.88,,,,,
AH Halfvolle vanilleyoghurt,B,79.0,1.6,1.1,0.4,13.0,12.0,0.0,3.1,0.1,,,,,
De Zaanse Hoeve Rijstdessert vanille,B,109.0,1.3,0.8,0.4,21.0,13.0,0.0,3.4,0.18,,,,,
AH Slagroom,D,337.0,35.0,24.0,11.0,3.0,3.0,0.0,2.5,0.1,,,,,
"AH Kookzuivel 7,2%",C,98.0,7.2,4.1,3.0,5.3,4.3,0.0,3.0,0.1,,,,,
De Zaanse Hoeve Volle kwark,B,115.0,7.9,5.1,2.3,3.8,3.8,0.0,7.1,0.1,,,,,
AH Verse scharreleieren M,A,131.0,9.1,3.0,4.5,0.2,0.2,0.0,12.0,0.38,,,,,
Danio Romige kwark stracciatella,C,517.0,4.2,2.8,,15.5,14.9,,5.8,0.1,0.09359999999999999,,,,
AH Vanillevla,C,90.0,2.8,1.9,0.9,14.0,9.2,0.0,2.2,0.18,,,,,
Danoontje Knijpyoghurt aardbei,B,82.0,2.8,1.8,,10.8,9.1,,3.6,0.12,0.191,,,0.000125,
AH Yoghurt griekse stijl 0% vet,A,45.0,0.1,0.1,0.0,4.9,4.9,0.0,6.0,0.1,0.123,,,,
De Zaanse Hoeve Chocolade mousse,B,131.0,4.1,2.6,1.5,18.0,17.0,2.0,4.6,0.2,,,,,
AH Plantaardig variatie voor yoghurt kokos,D,176.0,17.0,15.0,1.4,3.7,1.4,1.1,1.6,0.05,,,,,
AH Houdbare halfvolle melk,B,46.0,1.6,0.9,0.6,4.7,4.7,0.0,3.2,0.13,0.12,,,,
AH Biologisch Volle kwark,B,100.0,6.5,4.5,2.0,3.5,3.5,0.0,7.0,0.15,,,,,
Zuivelhoeve Boer'n muesli aardbei,B,130.0,4.9,2.4,,16.0,11.0,0.9,4.9,0.22,,,,,
AH Extra jam aardbeien,D,245.0,0.2,0.0,0.2,60.0,55.0,1.0,0.4,0.03,,,,,
AH Biologisch Kipfilet,C,126.0,3.8,0.7,3.1,2.9,1.0,0.1,20.0,2.13,,,,,
AH Zuivelspread knoflook kruiden,D,210.0,20.0,12.0,5.0,3.6,3.0,0.2,3.8,1.15,,,,,
AH Zaanlander Jong 48+ plakken,D,362.0,30.0,19.0,10.0,0.0,0.0,0.0,23.0,1.8,,,,,
AH Roomboter met plantaardige olie ongezout,D,589.0,65.0,35.0,28.0,0.5,0.5,0.0,0.6,0.0,,,,,
AH Flinterdunne gegrilde beenham,C,106.0,2.5,1.0,1.5,0.9,0.9,0.0,20.0,2.0,,,,,
AH Zachte kruiden roomkaas,D,288.0,28.0,18.0,7.2,4.4,4.2,0.1,4.6,1.4,,,,,
AH Gelderse worst,E,290.0,24.0,9.2,15.0,6.5,0.3,0.1,12.0,2.2,,,,,
AH Kipgrillworst,D,184.0,12.0,5.0,7.2,5.0,1.5,0.1,14.0,2.3,,,,,
De Zaanse Hoeve Jong belegen 48+ stuk voordeel,E,370.0,31.0,21.0,8.9,0.0,0.0,0.0,23.0,2.0,,,,,
AH Roasted kipfilet,C,112.0,2.1,0.7,1.4,1.6,1.0,1.2,21.0,2.35,,,,,
AH Scharrel flinterdunne kipfilet,C,123.0,4.5,1.7,2.8,1.5,1.5,0.0,19.0,1.88,,,,,
AH Hagelslag puur,E,446.0,16.0,9.2,6.7,67.0,64.0,6.8,5.2,0.03,,,,,
AH Flinterdunne achterham,C,102.0,2.1,0.8,1.3,4.8,0.6,0.1,16.0,2.25,,,,,
AH Gelderse gekookte worst,E,263.0,22.0,8.8,13.0,3.0,0.1,0.3,13.0,2.2,,,,,
AH Rookvlees,D,117.0,3.0,0.9,2.0,0.5,0.5,0.0,22.0,3.4,,,,,
AH Grillworst zaanlanderkaas,E,280.0,22.0,8.6,13.0,4.4,0.1,0.2,16.0,2.1,,,,,
AH Hagelslag melk,E,457.0,17.0,9.8,6.8,67.0,65.0,4.5,6.8,0.15,,,,,
AH Grillworst kip,D,239.0,18.0,7.2,11.0,5.2,1.1,0.1,14.0,1.85,,,,,
AH Goudse jong 48+ plakken voordeel,D,360.0,30.0,20.0,8.9,0.0,0.0,0.0,23.0,1.8,,,,,
AH Goudsalami,E,301.0,24.0,9.3,15.0,0.2,0.0,0.0,21.0,3.08,,,,,
AH Goudse jong belegen 48+ plakken voordeel,D,375.0,31.0,21.0,9.4,0.0,0.0,0.0,24.0,2.0,,,,,
AH Gegrilde yorkham,D,132.0,5.5,2.5,3.0,2.5,2.5,0.0,18.0,2.2,,,,,
AH Scharrelei bieslook salade,C,278.0,26.0,3.3,22.0,3.8,2.0,0.1,7.1,1.23,,,,,
AH Roomboter ongezouten,D,743.0,82.0,50.0,32.0,0.6,0.6,0.0,0.7,0.0,,,,,
AH Cremepate,E,261.0,23.0,8.8,14.0,4.3,1.8,0.4,9.1,1.83,,,,,
AH Leverworst,D,249.0,20.0,5.0,15.0,2.7,0.8,1.0,14.0,1.65,,,,,
AH Excellent Jamon serrano,D,210.0,10.0,4.0,6.0,0.1,0.1,0.0,30.0,5.0,,,,,
AH Mini crackers naturel,C,432.0,11.0,1.1,9.9,72.0,2.3,2.8,9.8,1.2,,,,,
AH Kruidenboter,E,662.0,72.0,50.0,21.0,2.5,1.5,0.4,0.9,0.88,,,,,
AH Gehakt,E,298.0,25.0,9.1,15.0,4.2,0.5,0.1,14.0,2.2,,,,,
AH Goudse jong 48+,D,360.0,30.0,20.0,8.9,0.0,0.0,0.0,23.0,1.8,,,,,
AH Krokante muesli chocolade,C,456.0,18.0,4.1,13.0,57.0,14.0,13.0,10.0,0.15,,,,,
AH Cervelaat,E,301.0,24.0,9.3,15.0,0.2,0.0,0.0,21.0,3.08,,,,,
AH Slagers gekookte worst,E,298.0,26.0,9.4,16.0,3.1,0.7,0.0,13.0,2.3,,,,,
AH Zuivelspread light,B,97.0,4.0,2.6,1.0,3.3,3.3,0.0,12.0,0.8,,,,,
AH Rosbief naturel,A,111.0,3.0,1.5,1.5,0.0,0.0,0.0,21.0,0.0,,,,,
AH Grillworst,E,288.0,24.0,9.0,15.0,5.0,0.2,0.1,13.0,2.15,,,,,
AH Gerookte kipfilet,C,117.0,4.2,1.4,2.8,0.8,0.8,0.0,19.0,2.0,,,,,
AH Goudse jong belegen 48+ plakken,D,375.0,31.0,21.0,9.4,0.0,0.0,0.0,24.0,2.0,,,,,
AH Rijstwafels melkchocolade,E,490.0,22.0,13.0,8.7,65.0,32.0,2.8,6.5,0.18,,,,,
AH Ontbijtspek,E,305.0,27.0,11.0,16.0,0.5,0.5,0.0,15.0,3.0,,,,,
AH Krokante muesli naturel,A,416.0,10.0,1.6,8.5,68.0,18.0,7.0,9.9,0.0,,,,,
De Zaanse Hoeve Jong 48+ stuk voordeel,E,360.0,30.0,20.0,9.1,0.0,0.0,0.0,23.0,1.9,,,,,
AH Fruitspread aardbei 81%,B,118.0,0.1,0.03,0.09,28.0,28.0,1.5,0.5,0.03,,,,,
AH Hummus pikant,A,219.0,15.0,2.1,12.0,8.4,2.6,11.0,7.0,1.23,,,,,
AH Figuurboterhamworst,D,195.0,15.0,6.0,9.0,3.0,1.0,0.0,12.0,2.2,,,,,
AH Hagel mix,E,449.0,14.0,8.2,5.7,76.0,68.0,3.5,3.1,0.0,,,,,
AH Smeuïge pindakaas,D,644.0,55.0,9.7,45.0,14.0,8.9,6.7,20.0,0.7,,,,,
AH 100% Pindakaas naturel,A,615.0,48.0,6.5,41.0,14.0,7.5,7.5,28.0,0.03,,,,,
AH Dunne maïswafels met zeezout,A,378.0,0.8,0.0,0.7,82.0,0.7,3.5,9.0,0.78,,,,,
AH Excellent Prosciutto crudo,D,226.0,13.0,4.6,7.8,0.3,0.0,0.0,27.0,5.3,,,,,
De Zaanse Hoeve Jong 30+ plakken,D,280.0,18.0,12.0,5.5,0.0,0.0,0.0,30.0,1.75,,,,,
AH Hummus zongedroogde tomaat,A,297.0,26.0,3.4,22.0,6.5,2.0,5.1,6.7,1.05,,,,,
AH Vrije uitloop-eisalade,D,287.0,26.0,3.4,22.0,4.7,3.0,0.2,8.5,1.38,,,,,
AH Gebraden gehakt,E,247.0,19.0,7.6,11.0,5.0,0.2,0.0,14.0,2.35,,,,,
AH Choco spread duo,E,573.0,36.0,9.6,27.0,61.0,61.0,0.9,0.7,0.05,,,,,
AH Gegrilde beenham,D,160.0,8.0,3.5,4.5,1.0,0.9,0.0,21.0,2.0,,,,,
AH Biologisch Yorkham,D,148.0,7.3,2.8,4.5,1.6,1.5,0.0,19.0,2.38,,,,,
AH Goudse jong belegen 48+ stuk,D,375.0,31.0,21.0,9.4,0.0,0.0,0.0,24.0,2.0,,,,,
AH Biologisch Ontbijtspek,E,283.0,23.0,9.6,13.0,0.0,0.0,0.0,19.0,3.8,,,,,
AH Krokante muesli noten,C,457.0,19.0,2.2,17.0,55.0,11.0,13.0,10.0,0.5,,,,,
AH Tostiham,C,97.0,2.1,0.8,1.3,4.5,0.5,0.0,15.0,2.1,,,,,
De Zaanse Hoeve Belegen 48+ stuk voordeel,D,385.0,32.0,22.0,9.1,0.0,0.0,0.0,24.0,2.1,,,,,
AH Zaanlander Belegen 48+ plakken,D,388.0,32.0,21.0,11.0,0.0,0.0,0.0,25.0,2.1,,,,,
Danone Hüttenkäse original,B,88.0,3.7,2.4,,1.6,1.6,,12.0,0.77,,,,,
AH Coburger ham,D,180.0,10.0,4.0,6.0,0.3,0.3,0.0,22.0,4.4,,,,,
AH Luchtige crackers naturel,A,385.0,4.0,0.5,3.2,70.0,3.5,8.4,13.0,1.2,,,,,
AH Tonijnsalade,D,317.0,27.0,2.4,24.0,5.4,3.5,0.1,13.0,1.4,,,,,
AH Goudse belegen 48+ plakken,D,390.0,32.0,21.0,10.0,0.0,0.0,0.0,25.0,2.2,,,,,
AH Goudse belegen 48+ plakken voordeel,D,390.0,32.0,21.0,10.0,0.0,0.0,0.0,25.0,2.2,,,,,
AH Greenfields Runderrookvlees,D,115.0,2.0,0.3,1.5,0.8,0.7,0.0,23.0,3.25,,,,,
AH Scharrel flinterdunne kipfilet,C,109.0,2.3,0.8,1.5,1.8,0.9,0.5,20.0,1.8,,,,,
AH Mini crackers naturel,C,432.0,11.0,1.1,9.9,72.0,2.3,2.8,9.8,1.2,,,,,
AH Galia cantaloupe watermeloen,A,33.0,0.07,0.03,0.03,7.3,7.3,0.6,0.6,0.03,,,,,
AH Mango,A,50.0,0.6,0.2,0.4,10.0,10.0,1.1,0.7,0.0,,,,,
AH Rijstwafels melkchocolade,E,490.0,22.0,13.0,8.7,65.0,32.0,2.8,6.5,0.18,,,,,
AH Snoepgroente tomatenmix,A,31.0,0.8,0.1,0.5,4.0,4.0,1.9,0.9,0.0,,,,,0.024
AH Snoepgroente Worteltjes,A,33.0,0.3,0.1,0.2,5.5,5.5,2.8,0.7,0.03,,,,,
AH Ananas mango,A,59.0,0.2,0.0,0.1,13.0,13.0,1.6,0.6,0.0,,,,,
AH Knijpfruit appel-aardbei,A,47.0,0.1,0.0,0.0,10.0,9.5,2.0,0.5,0.0,,,,,
Danoontje Knijpyoghurt aardbei,B,82.0,2.8,1.8,,10.8,9.1,,3.6,0.12,0.191,,,0.000125,
AH Knijpfruit appel-banaan,A,61.0,0.0,0.0,0.0,14.0,13.0,2.0,0.3,0.0,,,,,
AH Dunne maïswafels met zeezout,A,378.0,0.8,0.0,0.7,82.0,0.7,3.5,9.0,0.78,,,,,
AH Houdbare halfvolle melk,B,46.0,1.6,0.9,0.6,4.7,4.7,0.0,3.2,0.13,0.12,,,,
Zuivelhoeve Boer'n muesli aardbei,B,130.0,4.9,2.4,,16.0,11.0,0.9,4.9,0.22,,,,,
AH Bapao kipsate,B,231.0,4.6,1.3,3.0,39.0,6.9,2.2,7.3,1.0,,,,,
AH Biologisch Cherry tomaten,A,31.0,0.8,0.1,0.6,4.0,4.0,1.9,0.9,0.0,,,,,0.024
AH Luchtige crackers naturel,A,385.0,4.0,0.5,3.2,70.0,3.5,8.4,13.0,1.2,,,,,
AH Ananas cantaloupe kiwi,A,49.0,0.3,0.07,0.2,10.0,10.0,1.5,0.7,0.03,,,,,
AH Snoepgroente pitloze paprika,A,25.0,0.1,0.0,0.1,4.3,4.3,1.8,0.8,0.0,,,,,0.15
AH Biologisch Maiswafels met zeezout langwerpig,B,383.0,0.7,0.0,0.7,87.0,0.6,1.5,6.5,0.28,,,,,
AH Ananas appel druif,A,59.0,0.1,0.0,0.1,13.0,12.0,1.8,0.5,0.0,,,,,
AH Biologisch Snoepgroente tomaat,A,31.0,0.8,0.1,0.5,4.0,4.0,1.9,0.9,0.0,,,,,0.024
Snack a Jacks Smokey barbecue paprika,A,375.0,2.1,0.5,,78.0,2.9,5.4,8.1,0.72,,,,,
Zuivelhoeve Boer'n yoghurt vanille & muesli,B,133.0,4.9,2.0,,17.0,12.0,0.7,4.9,0.22,,,,,
AH Knijpfruit appel-peer,A,55.0,0.1,0.0,0.0,12.0,11.0,2.0,0.4,0.0,,,,,
AH Dunne maiswafels kaas 4-pack,B,412.0,7.3,0.9,6.2,78.0,3.3,2.5,7.4,0.9,,,,,
AH Biologisch Rijstwafels naturel,A,389.0,3.0,0.6,2.4,81.0,0.9,3.4,7.9,0.28,,,,,
AH Mini crackers olijfolie & oregano,D,440.0,12.0,2.0,10.0,72.0,2.4,2.0,10.0,2.0,,,,,
Bolletje Vezelrijk Knackebrod volkoren,A,398.0,10.0,0.9,,57.0,1.5,15.0,13.0,0.9,,,,,
AH Dunne maïswafels melkchocolade-pack,E,483.0,21.0,12.0,7.7,65.0,28.0,2.4,7.4,0.13,,,,,
AH Mini maiswafels paprika smaak,B,412.0,8.4,0.8,7.4,75.0,2.5,3.4,7.3,1.13,,,,,
AH Kruidkoekreep naturel 6-pack,C,305.0,0.9,0.1,0.8,70.0,36.0,3.6,2.4,0.4,,,,,
AH Rijstwafels melkchocolade 4-pack,E,474.0,20.0,12.0,7.6,65.0,34.0,2.6,7.2,0.5,,,,,
AH Verse ananas stukjes,A,54.0,0.1,0.0,0.1,12.0,12.0,1.6,0.5,0.0,,,,,
Bolletje Lichte crackers spelt,A,420.0,8.6,0.9,,66.0,3.1,10.0,14.0,1.1,,,,,
Bolletje Luchtig  Knackebrod sesam,A,432.0,12.0,1.6,,64.0,1.5,7.7,12.0,0.9,,,,,
AH Juanita cherrytomaten aan de tak,A,31.0,0.8,0.1,0.5,4.0,4.0,1.9,0.9,0.0,,,,,0.024
AH Maiswafels sour cream & onion,B,397.0,8.4,0.9,7.5,72.0,3.2,2.5,7.1,0.9,,,,,
Zuivelhoeve Boer'n muesli bosvruchten,B,129.0,4.9,2.4,,16.0,11.0,0.9,4.7,0.22,,,,,
